#,Destination,Location,ExpReward,SurveyDurationmin,X,Y,Z,Map,Stars,RankReq,CeruleumTankReq,SurveyDistance,StartingPoint,NameCN
0,,,0,0,483,927,0,1,0,0,0,0,True,0
1,the Ivory Shoals (A),A,10610,180,640,880,100,1,1,1,1,10,False,洁白浅滩 A
2,deep-sea site 1 (B),B,10610,180,570,750,300,1,1,1,1,10,False,溺没海1 B
3,deep-sea site 2 (C),C,27840,240,740,700,300,1,1,4,1,10,False,溺没海2 C
4,the Lightless Basin (D),D,27840,240,400,850,500,1,1,4,2,10,False,无光海盆 D
5,deep-sea site 3 (E),E,46660,300,650,610,200,1,1,7,2,11,False,溺没海3 E
6,the Southern Rimilala Trench (F),F,46660,300,850,850,600,1,1,7,3,11,False,利米拉拉海沟南端 F
7,the Umbrella Narrow (G),G,75920,360,260,760,100,1,1,10,1,11,False,伞峡 G
8,Offender's Rot (H),H,102600,420,120,840,100,1,2,14,1,12,False,俘虏岛 H
9,Neolith Island (I),I,118350,420,380,660,100,1,2,17,1,12,False,石人岛 I
10,unidentified derelict (J),J,146210,480,900,600,600,1,2,20,3,12,False,无名沉船 J
11,the Cobalt Shoals (K),K,146210,480,520,550,300,1,2,20,6,12,False,湛蓝浅滩 K
12,the Mystic Basin (L),L,174980,540,260,570,600,1,3,24,6,13,False,神秘海盆 L
13,deep-sea site 4 (M),M,200430,600,90,630,100,1,3,27,6,13,False,溺没海4 M
14,the Central Rimilala Trench (N),N,200430,600,800,550,400,1,3,27,6,13,False,利米拉拉海沟中部 N
15,the Wreckage of *Discovery I* (O),O,231750,660,630,490,500,1,3,30,6,14,False,探索号残骸 O
16,Komura (P),P,231750,660,290,365,100,1,3,30,6,14,False,树丛岛 P
17,Kanayama (Q),Q,263530,720,115,350,0,1,4,34,6,14,False,金山岛 Q
18,concealed bay (R),R,292170,780,150,540,600,1,4,37,6,15,False,海军的秘密港口 R
19,deep-sea site 5 (S),S,292170,780,320,230,200,1,4,37,6,15,False,溺没海5 S
20,Purgatory (T),T,338330,840,130,180,100,1,4,40,6,15,False,炼狱岛 T
21,deep-sea site 6 (U),U,338330,840,465,330,100,1,4,40,6,15,False,溺没海6 U
