#,Class,Surveillance,Retrieval,Speed,Range,Favor,Slot,Rank,Components,RepairMaterials,NameCN,NameEN
0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,50,40,10,-20,15,2,1,5,1,鲨鱼级船首,Shark-class Bow
2,3,20,20,20,20,20,3,1,5,1,鲨鱼级舰桥,Shark-class Bridge
3,3,-10,30,20,40,20,0,1,5,1,鲨鱼级船体,Shark-class Pressure Hull
4,3,-30,20,60,30,15,1,1,5,1,鲨鱼级船尾,Shark-class Stern
5,2,60,20,20,-15,10,2,15,9,2,甲鲎级船首,Unkiu-class Bow
6,2,25,5,25,30,30,3,15,9,2,甲鲎级舰桥,Unkiu-class Bridge
7,2,15,10,0,60,15,0,15,9,2,甲鲎级船体,Unkiu-class Pressure Hull
8,2,15,0,30,40,25,1,15,9,2,甲鲎级船尾,Unkiu-class Stern
9,1,25,60,-15,20,15,2,25,12,3,须鲸级船首,Whale-class Bow
10,1,0,25,20,45,40,3,25,12,3,须鲸级舰桥,Whale-class Bridge
11,1,-15,55,35,15,20,0,25,12,3,须鲸级船体,Whale-class Pressure Hull
12,1,15,20,0,55,15,1,25,12,3,须鲸级船尾,Whale-class Stern
13,4,65,10,-10,30,0,2,35,14,4,腔棘鱼级船首,Coelacanth-class Bow
14,4,55,20,35,-15,50,3,35,14,4,腔棘鱼级舰桥,Coelacanth-class Bridge
15,4,40,-10,25,40,25,0,35,14,4,腔棘鱼级船体,Coelacanth-class Pressure Hull
16,4,10,25,35,25,25,1,35,14,4,腔棘鱼级船尾,Coelacanth-class Stern
17,5,45,30,-15,40,40,2,45,17,5,希尔德拉级船首,Syldra-class Bow
18,5,55,20,-5,30,60,3,45,17,5,希尔德拉级舰桥,Syldra-class Bridge
19,5,10,75,30,-15,5,0,45,17,5,希尔德拉级船体,Syldra-class Pressure Hull
20,5,20,60,35,-15,5,1,45,17,5,希尔德拉级船尾,Syldra-class Stern
21,8,55,50,15,-15,25,2,50,20,6,鲨鱼改级船首,Modified Shark-class Bow
22,8,25,25,30,25,35,3,50,20,6,鲨鱼改级舰桥,Modified Shark-class Bridge
23,8,-5,40,25,45,35,0,50,20,6,鲨鱼改级船体,Modified Shark-class Pressure Hull
24,8,-25,25,70,35,25,1,50,20,6,鲨鱼改级船尾,Modified Shark-class Stern
25,7,65,25,25,-10,20,2,50,20,6,甲鲎改级舰首,Modified Unkiu-class Bow
26,7,30,10,30,35,40,3,50,20,6,甲鲎改级舰桥,Modified Unkiu-class Bridge
27,7,20,15,5,65,25,0,50,20,6,甲鲎改级船体,Modified Unkiu-class Pressure Hull
28,7,20,5,35,45,35,1,50,20,6,甲鲎改级船尾,Modified Unkiu-class Stern
29,6,25,65,-10,25,25,2,50,20,6,须鲸改级船首,Modified Whale-class Bow
30,6,0,30,25,50,45,3,50,20,6,须鲸改级舰桥,Modified Whale-class Bridge
31,6,-10,55,40,20,30,0,50,20,6,须鲸改级船体,Modified Whale-class Pressure Hull
32,6,20,20,5,60,20,1,50,20,6,须鲸改级船尾,Modified Whale-class Stern
33,9,70,15,-10,30,5,2,50,20,6,腔棘鱼改级船首,Modified Coelacanth-class Bow
34,9,60,20,35,-10,55,3,50,20,6,腔棘鱼改级舰桥,Modified Coelacanth-class Bridge
35,9,40,-5,30,40,30,0,50,20,6,腔棘鱼改级船体,Modified Coelacanth-class Pressure Hull
36,9,10,25,40,30,30,1,50,20,6,腔棘鱼改级船尾,Modified Coelacanth-class Stern
37,10,45,30,-10,40,40,2,50,20,6,希尔德拉改级船首,Modified Syldra-class Bow
38,10,60,20,-5,30,60,3,50,20,6,希尔德拉改级舰桥,Modified Syldra-class Bridge
39,10,10,80,30,-15,10,0,50,20,6,希尔德拉改级船体,Modified Syldra-class Pressure Hull
40,10,20,60,35,-10,10,1,50,20,6,希尔德拉改级船尾,Modified Syldra-class Stern
